id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
6272;;Мобильный комплект зарядки устройств Charghub;yes;instock;no;;;variable;
7483;charghub.black;black ;yes;instock;no;24;269;product-variant;6272
6273;;Кабель uniCable-2 USB-Lightning/30-pin/microUSB 1.2 м;yes;instock;no;;;variable;
7414;unicable-2.black;black ;yes;instock;no;80;199;product-variant;6273
6274;;Кабель Yank-M;yes;instock;no;;;variable;
7362;yank-m.black;black ;yes;instock;no;1;199;product-variant;6274
6275;;Кабель linkMate-U2L;yes;instock;no;;;variable;
7332;linkmate-u2l.black;black ;yes;instock;no;53;249;product-variant;6275
6276;linkmate-u2l.white;white ;yes;instock;no;20;249;product-variant;6275
6277;;Автомобильное зарядное устройство Booster-Duo;yes;instock;no;;;variable;
7702;booster-duo.black;black ;yes;instock;no;4;599;product-variant;6277
6278;booster-duo.white;white ;yes;instock;no;5;599;product-variant;6277
6279;;Автомобильное зарядное устройство proChargeLT;yes;instock;no;;;variable;
7694;prochargelt.black;black ;yes;instock;no;5;399;product-variant;6279
6281;;Автомобильное зарядное устройство proChargeLT1;yes;instock;no;;;variable;
7678;prochargelt1.black;black ;yes;instock;no;0;0;product-variant;6281
6282;prochargelt1.white;white ;yes;instock;no;0;0;product-variant;6281
6283;;Автомобильное зарядное устройство Tryx-1;yes;instock;no;;;variable;
7673;tryx-1.black;black ;yes;instock;no;0;0;product-variant;6283
6284;;Автомобильное зарядное устройство Vivid;yes;instock;no;;;variable;
7661;vivid.black;black ;yes;instock;no;342;199;product-variant;6284
6285;vivid.red;red ;yes;instock;no;2;199;product-variant;6284
6286;vivid.blue;blue ;yes;instock;no;0;0;product-variant;6284
6287;vivid.white;white ;yes;instock;no;123;199;product-variant;6284
6252;;Переходник ProLink-H2V;yes;instock;no;;;variable;
7146;prolink-h2v.white;white ;yes;instock;no;28;499;product-variant;6252
